episode,reward,length,success,population_std,seed
1,86.97769827545562,593,1.0,,21
2,84.09920162754845,541,1.0,,21
3,86.17523640006708,489,1.0,,21
4,87.18942270903192,538,1.0,,21
5,88.07085528335087,368,1.0,,21
6,-0.17929659183568764,999,0.0,,21
7,87.53051538770626,481,1.0,,21
8,88.4666796061808,367,1.0,,21
9,94.41079464664378,624,1.0,,21
10,94.38026558853,590,1.0,,21
11,94.92079461839107,623,1.0,,21
12,91.77192230784745,449,1.0,,21
13,95.53005415483051,585,1.0,,21
14,91.77496913340265,516,1.0,,21
15,93.1460610045186,654,1.0,,21
16,96.05687232281036,582,1.0,,21
17,92.63324420435099,606,1.0,,21
18,94.28454528639709,421,1.0,,21
19,95.54415658734513,787,1.0,,21
20,-0.5150226290558055,999,0.0,,21
21,93.12676644958582,601,1.0,,21
22,95.72373083583048,550,1.0,,21
23,-3.178131412045975,999,0.0,,21
24,95.14797120120924,824,1.0,,21
25,95.12897043750041,925,1.0,,21
26,94.99040095519437,589,1.0,,21
27,93.29153127253194,619,1.0,,21
28,92.39395578094057,725,1.0,,21
29,92.96360652571367,751,1.0,,21
30,95.03855462875684,453,1.0,,21
31,93.84189554159539,594,1.0,,21
32,95.64058183739031,415,1.0,,21
33,95.98368469509315,550,1.0,,21
34,95.42325480069304,754,1.0,,21
35,95.73645400625466,988,1.0,,21
36,95.0067362894937,488,1.0,,21
37,95.42804051432194,653,1.0,,21
38,92.93891009290904,704,1.0,,21
39,94.97415469679022,453,1.0,,21
40,93.34469951475073,720,1.0,,21
41,93.33301104190578,514,1.0,,21
42,91.87484480320511,861,1.0,,21
43,95.75092348419558,617,1.0,,21
44,96.01225894972657,446,1.0,,21
45,92.30454266175134,624,1.0,,21
46,93.90210732935124,931,1.0,,21
47,93.99213552557018,694,1.0,,21
48,93.08143171985134,568,1.0,,21
49,95.9304614397754,751,1.0,,21
50,93.30783036540977,752,1.0,,21
51,91.71258344647374,618,1.0,,21
52,-1.376292768006368,999,0.0,,21
53,94.55865759776377,657,1.0,,21
54,91.76236127841538,584,1.0,,21
55,96.13079727200453,413,1.0,,21
56,95.75057246601337,482,1.0,,21
57,94.56187150094762,522,1.0,,21
58,96.10719847594093,481,1.0,,21
59,95.06748733103355,453,1.0,,21
60,95.46526923494983,518,1.0,,21
61,-0.6386212367037774,999,0.0,,21
62,93.55920336505916,732,1.0,,21
63,93.39285863406461,517,1.0,,21
64,95.73603536891238,414,1.0,,21
65,93.44990435312705,584,1.0,,21
66,95.95495693096653,548,1.0,,21
67,94.9168102459491,453,1.0,,21
68,93.01066328821216,751,1.0,,21
69,95.36213364601608,485,1.0,,21
70,91.96818168826483,453,1.0,,21
71,93.368027096632,752,1.0,,21
72,91.68188001591149,586,1.0,,21
73,93.89610751132874,527,1.0,,21
74,93.61936906194137,563,1.0,,21
75,92.66979958705787,875,1.0,,21
76,93.45265320293757,550,1.0,,21
77,92.07876338119641,624,1.0,,21
78,93.23063877993319,856,1.0,,21
79,-0.7020235298460833,999,0.0,,21
80,92.56459115226289,640,1.0,,21
81,94.5008365312614,420,1.0,,21
82,93.13014644021945,601,1.0,,21
83,-1.1599416524739625,999,0.0,,21
84,93.0335816403134,520,1.0,,21
85,94.80150616065349,419,1.0,,21
86,93.08929374928921,635,1.0,,21
87,92.13056410053102,894,1.0,,21
88,94.03870840623719,559,1.0,,21
89,-0.4942176141888629,999,0.0,,21
90,93.36393870020527,902,1.0,,21
91,94.24303840013864,625,1.0,,21
92,95.35805248370177,417,1.0,,21
93,94.83307468577225,453,1.0,,21
94,93.22278876497376,654,1.0,,21
95,95.86866510324614,413,1.0,,21
96,92.85543956703246,960,1.0,,21
97,92.35095800018465,691,1.0,,21
98,93.23739380802007,853,1.0,,21
99,95.60861985130879,449,1.0,,21
