episode,reward,length,success,population_std,seed
1,-185.47598790810298,200,0.0,,7
2,-188.55904825482867,200,0.0,,7
3,-194.42861783367334,200,0.0,,7
4,-193.6351052237933,200,0.0,,7
5,-185.10682062420528,200,0.0,,7
6,-196.7565008121835,200,0.0,,7
7,-142.41156363039045,161,1.0,,7
8,-141.8614091250638,161,1.0,,7
9,-144.09795777177806,160,1.0,,7
10,-185.2531819469732,200,0.0,,7
11,-185.49692534861606,200,0.0,,7
12,-190.90261966683101,200,0.0,,7
13,-147.03808293242764,161,1.0,,7
14,-132.68944593484048,147,1.0,,7
15,-142.8961986121285,159,1.0,,7
16,-199.24524362079865,200,0.0,,7
17,-141.8975054815528,161,1.0,,7
18,-143.1022434511542,161,1.0,,7
19,-199.17684225778885,200,0.0,,7
20,-184.84140469965496,200,0.0,,7
21,-190.38688433673087,200,0.0,,7
22,-196.68771467886017,200,0.0,,7
23,-191.41143877159266,200,0.0,,7
24,-141.97524766914285,160,1.0,,7
25,-191.42285477741098,200,0.0,,7
26,-185.13951339213236,200,0.0,,7
27,-196.77263274106508,200,0.0,,7
28,-173.9727488917706,196,1.0,,7
29,-192.77868847497302,200,0.0,,7
30,-185.2809122283452,200,0.0,,7
31,-177.73032926255837,200,0.0,,7
32,-132.6610743724741,147,1.0,,7
33,-176.56594478581974,199,1.0,,7
34,-142.07037352795305,159,1.0,,7
35,-141.81731834367383,160,1.0,,7
36,-195.8436419465579,200,0.0,,7
37,-143.01626178441802,159,1.0,,7
38,-132.6719877710566,147,1.0,,7
39,-177.7989891928155,200,0.0,,7
40,-185.00962697642535,200,0.0,,7
41,-142.08632592612412,159,1.0,,7
42,-143.1374172665528,160,1.0,,7
43,-192.72463213706942,200,0.0,,7
44,-167.03879478323506,181,1.0,,7
45,-190.3688570196391,200,0.0,,7
46,-133.8833544346271,148,1.0,,7
47,-194.5273916766564,200,0.0,,7
48,-198.95563469866374,200,0.0,,7
49,-184.84136378410767,200,0.0,,7
50,-143.42847268855257,161,1.0,,7
51,-185.2517945188447,200,0.0,,7
52,-177.69621037325123,200,0.0,,7
53,-143.5181810784852,161,1.0,,7
54,-191.68778093429864,200,0.0,,7
55,-174.05213488158188,196,1.0,,7
56,-179.02949920207902,200,0.0,,7
57,-178.3890369630535,200,0.0,,7
58,-143.69616466372463,160,1.0,,7
59,-192.81717969130113,200,0.0,,7
60,-191.41152996595338,200,0.0,,7
61,-177.7077014349925,200,0.0,,7
62,-144.0999817518241,160,1.0,,7
63,-142.9530676043796,159,1.0,,7
64,-184.70129961817292,200,0.0,,7
65,-142.97251606019563,161,1.0,,7
66,-196.54601564058567,200,0.0,,7
67,-185.13418050759356,200,0.0,,7
68,-196.49144850016683,200,0.0,,7
69,-193.50977811904158,200,0.0,,7
70,-180.44800424832374,200,0.0,,7
71,-143.56033948608092,161,1.0,,7
72,-173.10041468957206,187,1.0,,7
73,-132.58602995675756,147,1.0,,7
74,-177.80702369927894,200,0.0,,7
75,-183.90904944790236,200,0.0,,7
76,-155.0432151243731,174,1.0,,7
77,-156.64782654558076,174,1.0,,7
78,-171.7871367965563,195,1.0,,7
79,-159.17980365222684,179,1.0,,7
80,-153.1465408911754,170,1.0,,7
81,-143.67414395796368,164,1.0,,7
82,-120.26173765325802,134,1.0,,7
83,-144.36394976242445,166,1.0,,7
84,-121.93176970322384,135,1.0,,7
85,-176.2217042438715,200,0.0,,7
86,-176.39567478712706,200,0.0,,7
87,-146.1766719322477,169,1.0,,7
88,-176.58288439759417,200,0.0,,7
89,-151.53527033369755,175,1.0,,7
90,-117.31088707555318,133,1.0,,7
91,-144.5961190162052,165,1.0,,7
92,-151.5261525715141,175,1.0,,7
93,-155.1081997466681,179,1.0,,7
94,-117.31347938196268,133,1.0,,7
95,-144.60941009415546,167,1.0,,7
96,-134.6151533782031,154,1.0,,7
97,-127.6284906934452,144,1.0,,7
98,-127.6156652707723,144,1.0,,7
99,-133.74955075539037,153,1.0,,7
100,-131.24807377431716,149,1.0,,7
101,-133.53234777179023,152,1.0,,7
102,-130.58707529508683,148,1.0,,7
103,-131.33173196371354,149,1.0,,7
104,-130.75660850085842,148,1.0,,7
105,-134.6481946976055,154,1.0,,7
106,-124.96417827711412,140,1.0,,7
107,-126.39931265224004,142,1.0,,7
108,-120.69094843489438,135,1.0,,7
109,-107.51032214867882,121,1.0,,7
110,-120.72303702618228,135,1.0,,7
111,-134.0073488933267,153,1.0,,7
112,-133.1014470605005,152,1.0,,7
113,-156.4180621909618,177,1.0,,7
114,-129.95326250241487,147,1.0,,7
115,-127.70335869709379,144,1.0,,7
116,-129.97889138790197,147,1.0,,7
117,-99.88581190505647,111,1.0,,7
118,-94.75603018217225,107,1.0,,7
119,-198.88777573134576,200,0.0,,7
120,-96.3788868017291,108,1.0,,7
121,-102.38108663860476,113,1.0,,7
122,-106.77540078325546,117,1.0,,7
123,-97.36933931597741,109,1.0,,7
124,-110.87157699190902,121,1.0,,7
125,-93.46351811992645,107,1.0,,7
126,-92.55300007085316,106,1.0,,7
127,-92.51489424402826,106,1.0,,7
128,-94.53489903494483,107,1.0,,7
129,-94.5177619580063,107,1.0,,7
130,-94.0228830241831,107,1.0,,7
131,-97.5700401593931,109,1.0,,7
132,-92.58606612705626,106,1.0,,7
133,-97.60591808137542,109,1.0,,7
134,-93.93502504262142,107,1.0,,7
135,-99.98316994465858,111,1.0,,7
136,-92.51813845790457,106,1.0,,7
137,-94.77187924917598,107,1.0,,7
138,-119.0952373263317,129,1.0,,7
139,-97.43838449567556,109,1.0,,7
140,-104.50744090732769,115,1.0,,7
141,-94.8009915545772,107,1.0,,7
142,-93.72090282692807,107,1.0,,7
143,-98.91620700829662,110,1.0,,7
144,-102.35412995764636,113,1.0,,7
145,-94.78435665750294,107,1.0,,7
146,-106.66892839132925,117,1.0,,7
147,-102.35218016828003,113,1.0,,7
148,-93.78628901951015,107,1.0,,7
149,-101.30249160694075,112,1.0,,7
150,-107.74644556219573,118,1.0,,7
151,-94.06313112139469,107,1.0,,7
152,-97.60038347964291,109,1.0,,7
153,-99.84645153899328,111,1.0,,7
154,-98.83196284012229,110,1.0,,7
155,-93.65586513146991,107,1.0,,7
156,-99.89583131269319,111,1.0,,7
157,-98.94188202342775,110,1.0,,7
158,-104.5855376572581,115,1.0,,7
159,-102.38978068938013,113,1.0,,7
160,-94.83667583120405,107,1.0,,7
161,-94.53492309188005,107,1.0,,7
162,-96.33929127387819,108,1.0,,7
163,-99.93753760450636,111,1.0,,7
164,-93.67497046088101,107,1.0,,7
165,-94.90162919613067,107,1.0,,7
166,-93.80463446711656,107,1.0,,7
167,-99.90239295549691,111,1.0,,7
168,-104.62791721860413,115,1.0,,7
169,-94.88590077543631,107,1.0,,7
170,-94.86430496606044,107,1.0,,7
171,-97.44354071450653,109,1.0,,7
172,-94.1367081549397,107,1.0,,7
173,-94.51303138647927,107,1.0,,7
174,-94.84714593639364,107,1.0,,7
175,-96.34317372224177,108,1.0,,7
176,-93.59824301284971,107,1.0,,7
177,-101.2243001969473,112,1.0,,7
178,-97.62535042673699,109,1.0,,7
179,-94.72784816729654,107,1.0,,7
180,-93.58271686406806,107,1.0,,7
181,-94.02140476059867,107,1.0,,7
182,-95.98075468992465,108,1.0,,7
183,-107.75621374556795,118,1.0,,7
184,-94.8796675929334,107,1.0,,7
185,-100.15212535983301,111,1.0,,7
186,-93.58197180740535,108,1.0,,7
187,-102.85528870241251,115,1.0,,7
188,-105.24850901643458,117,1.0,,7
189,-109.36891314823333,121,1.0,,7
190,-100.67467785117333,113,1.0,,7
191,-95.58717921251082,109,1.0,,7
192,-93.44799299474107,108,1.0,,7
193,-97.1609745346359,110,1.0,,7
194,-104.00439333848772,116,1.0,,7
195,-93.93417809264793,108,1.0,,7
196,-94.2641119089676,108,1.0,,7
197,-97.25243668071926,110,1.0,,7
198,-103.94190340777277,116,1.0,,7
199,-198.2079956506368,200,0.0,,7
200,-93.72304085697397,108,1.0,,7
