episode,reward,length,success,population_std,seed
1,-145.09483683330473,200,0.0,,7
2,-153.04339424292266,200,0.0,,7
3,-177.71447133469337,200,0.0,,7
4,-174.54042089517316,200,0.0,,7
5,-142.99766021809774,200,0.0,,7
6,-187.026003248734,200,0.0,,7
7,-148.2401841058163,200,0.0,,7
8,-151.4340457576327,200,0.0,,7
9,-164.04616614425322,200,0.0,,7
10,-174.41930321590917,200,0.0,,7
11,-175.46029130448005,200,0.0,,7
12,-176.4589176401205,200,0.0,,7
13,-165.03931963488867,200,0.0,,7
14,-129.6944294925197,200,0.0,,7
15,-129.26845979469363,200,0.0,,7
16,-125.96072172920685,200,0.0,,7
17,-148.98925178364152,200,0.0,,7
18,-156.41038722998928,200,0.0,,7
19,-126.06500078298268,200,0.0,,7
20,-178.13373083801707,200,0.0,,7
21,-176.77064489047552,200,0.0,,7
22,-186.7508587154407,200,0.0,,7
23,-179.10153153265128,200,0.0,,7
24,-154.95883226190927,200,0.0,,7
25,-178.7548928525939,200,0.0,,7
26,-171.60472140880302,200,0.0,,7
27,-187.09053096426032,200,0.0,,7
28,-140.84450906637358,200,0.0,,7
29,-180.70658798635122,200,0.0,,7
30,-175.91903619540972,200,0.0,,7
31,-126.96383692935342,200,0.0,,7
32,-161.6172050422756,200,0.0,,7
33,-135.37605733436067,200,0.0,,7
34,-151.7892215840402,200,0.0,,7
35,-148.78628116479376,200,0.0,,7
36,-183.37456778623164,200,0.0,,7
37,-128.77662179271283,200,0.0,,7
38,-129.05479050328722,200,0.0,,7
39,-143.30049648364366,200,0.0,,7
40,-124.13781020848546,200,0.0,,7
41,-134.53957130712297,200,0.0,,7
42,-135.59535591804888,200,0.0,,7
43,-120.89683377067558,200,0.0,,7
44,-127.55563157144934,200,0.0,,7
45,-121.69136994052678,200,0.0,,7
46,-127.29588438989595,200,0.0,,7
47,-119.6441715065157,200,0.0,,7
48,-152.4646202157453,200,0.0,,7
49,-121.79390317643993,200,0.0,,7
50,-135.6241590110585,200,0.0,,7
51,-124.48069458187092,200,0.0,,7
52,2.355304607488506,182,1.0,,7
53,6.514230438740924,182,1.0,,7
54,-96.60993040917674,200,0.0,,7
55,5.142537525436637,178,1.0,,7
56,7.892891286523081,166,1.0,,7
57,10.133613835670985,163,1.0,,7
58,-108.5435050475644,200,0.0,,7
59,-96.67943314976583,200,0.0,,7
60,-97.49941316782497,200,0.0,,7
61,-130.19673194095958,200,0.0,,7
62,-111.10801061498933,200,0.0,,7
63,16.056750062387437,182,1.0,,7
64,9.679352748498786,195,1.0,,7
65,14.461329136101995,175,1.0,,7
66,42.47367765009403,112,1.0,,7
67,20.965388159733266,181,1.0,,7
68,42.378465579357,112,1.0,,7
69,34.661648113280535,118,1.0,,7
70,16.240883958118502,168,1.0,,7
71,14.59383478318341,178,1.0,,7
72,10.773068242095178,192,1.0,,7
73,16.744470700621605,182,1.0,,7
74,14.38676818832755,171,1.0,,7
75,9.788913598749787,195,1.0,,7
76,15.167222017189488,180,1.0,,7
77,14.255976084852591,178,1.0,,7
78,21.22519328026101,180,1.0,,7
79,16.82287440355867,182,1.0,,7
80,14.753874363465002,174,1.0,,7
81,15.058327127364464,178,1.0,,7
82,14.122095192084089,174,1.0,,7
83,16.925315131200477,182,1.0,,7
84,14.289835974108428,176,1.0,,7
85,-112.66993291006656,200,0.0,,7
86,-119.43793957332673,200,0.0,,7
87,21.100247549824417,181,1.0,,7
88,37.97729680687189,114,1.0,,7
89,9.764406374306418,195,1.0,,7
90,15.477286810579244,169,1.0,,7
91,14.958009897149168,181,1.0,,7
92,10.245952326164115,194,1.0,,7
93,32.40708138956688,118,1.0,,7
94,15.464834836835507,169,1.0,,7
95,10.525815939443419,192,1.0,,7
96,16.77752731583314,167,1.0,,7
97,16.8830459152814,182,1.0,,7
98,-111.8332668489893,200,0.0,,7
99,-192.83003970966092,200,0.0,,7
100,-186.35142788913072,200,0.0,,7
101,-189.01932410472,200,0.0,,7
102,-183.54219563851075,200,0.0,,7
103,-185.2635550847117,200,0.0,,7
104,-181.5566735615721,200,0.0,,7
105,-195.978913613053,200,0.0,,7
106,-113.94853482139297,200,0.0,,7
107,-110.14538226649165,200,0.0,,7
108,21.203291846439242,127,1.0,,7
109,35.11937638465315,117,1.0,,7
110,20.166371879633516,128,1.0,,7
111,-193.62543501119944,200,0.0,,7
112,-190.45740995628876,200,0.0,,7
113,28.094285262166522,122,1.0,,7
114,-180.46222173492424,200,0.0,,7
115,-112.14316040335689,200,0.0,,7
116,-180.07733383958112,200,0.0,,7
117,-182.8132887686661,200,0.0,,7
118,-5.058986100717448,151,1.0,,7
119,-195.55110292538302,200,0.0,,7
120,-112.0693669479806,200,0.0,,7
121,-188.8506289680845,200,0.0,,7
122,-192.0371822784,200,0.0,,7
123,-111.88679960556328,200,0.0,,7
124,-193.63262093585945,200,0.0,,7
125,35.21296831732616,117,1.0,,7
126,35.588096358813345,117,1.0,,7
