episode,reward,length,success,population_std,seed
1,-32.18964928235511,999,0.0,,7
2,64.63666403591637,499,1.0,,7
3,66.72368256396148,563,1.0,,7
4,67.82656545537755,529,1.0,,7
5,-64.89174657116814,999,0.0,,7
6,82.00545087754725,233,1.0,,7
7,58.25766405463219,593,1.0,,7
8,58.4233114391565,587,1.0,,7
9,69.63276838362219,410,1.0,,7
10,76.07327992618083,319,1.0,,7
11,84.01522488989868,342,1.0,,7
12,83.42248818614753,347,1.0,,7
13,80.38468523062767,467,1.0,,7
14,86.25759088275954,736,1.0,,7
15,88.94353955972474,505,1.0,,7
16,91.66215034168562,236,1.0,,7
17,91.99576800396899,289,1.0,,7
18,89.56703571906546,427,1.0,,7
19,86.26829294627532,320,1.0,,7
20,91.16534204562194,315,1.0,,7
21,91.43905037880177,318,1.0,,7
22,92.02088654802647,244,1.0,,7
23,90.96985474285029,315,1.0,,7
24,90.95343774966896,352,1.0,,7
25,91.03358356406098,315,1.0,,7
26,90.68191251558018,393,1.0,,7
27,91.96543423198163,244,1.0,,7
28,91.98485950955656,281,1.0,,7
29,90.29943474190077,317,1.0,,7
30,91.5908371550031,322,1.0,,7
31,91.60674912985414,279,1.0,,7
32,87.50745959421619,661,1.0,,7
33,91.92437311033719,279,1.0,,7
34,86.45701887046452,448,1.0,,7
35,90.1031514146336,353,1.0,,7
36,92.33598534855118,252,1.0,,7
37,82.83071350567042,212,1.0,,7
38,82.99438464604319,212,1.0,,7
39,73.17736953441052,342,1.0,,7
40,82.36518531274052,220,1.0,,7
41,79.54075515773148,249,1.0,,7
42,77.54398416404143,284,1.0,,7
43,86.1970233817585,163,1.0,,7
44,82.69515391122549,216,1.0,,7
45,84.04526059757919,186,1.0,,7
46,82.54709713440388,218,1.0,,7
47,86.57305375332943,160,1.0,,7
48,75.62832209062763,319,1.0,,7
49,85.26642567105591,173,1.0,,7
50,77.15611779689786,287,1.0,,7
51,80.58803275190293,234,1.0,,7
52,73.75700999433171,337,1.0,,7
53,76.52201228998601,292,1.0,,7
54,86.3273206071928,162,1.0,,7
55,79.06652834252452,269,1.0,,7
56,76.69966490380466,307,1.0,,7
57,76.35054610054938,316,1.0,,7
58,82.72643868103623,213,1.0,,7
59,86.18840667456388,163,1.0,,7
60,85.81856382833794,167,1.0,,7
61,74.10065372335954,334,1.0,,7
62,82.94473499897867,214,1.0,,7
63,82.81740239849313,212,1.0,,7
64,81.46502473838628,227,1.0,,7
65,79.47712532849981,267,1.0,,7
66,86.87327012513997,161,1.0,,7
67,82.49178059971891,219,1.0,,7
68,86.93526547091315,160,1.0,,7
69,86.4216462565586,161,1.0,,7
70,75.72724249244202,318,1.0,,7
71,76.05466549545524,296,1.0,,7
72,82.6168744285591,217,1.0,,7
73,82.8875890130177,212,1.0,,7
74,73.41554921307832,340,1.0,,7
75,82.12824523169547,222,1.0,,7
76,82.49343170111533,216,1.0,,7
77,77.92590378820894,281,1.0,,7
78,82.24350841254928,221,1.0,,7
79,82.91129335388541,212,1.0,,7
80,79.80796050047502,264,1.0,,7
81,81.54103495087475,228,1.0,,7
82,79.88899377530907,261,1.0,,7
83,82.96200865432621,212,1.0,,7
84,79.39077248275278,269,1.0,,7
85,84.78442846182733,178,1.0,,7
86,85.7430346617941,168,1.0,,7
87,82.37078988961875,220,1.0,,7
88,85.90090033803135,166,1.0,,7
89,82.14474999438973,222,1.0,,7
90,76.68615277898498,307,1.0,,7
91,82.64629301130772,214,1.0,,7
92,82.00550712873229,223,1.0,,7
93,79.19978981707243,246,1.0,,7
94,76.58937818426641,308,1.0,,7
95,82.69874280989171,216,1.0,,7
96,70.98720815898851,380,1.0,,7
97,82.93793742805718,212,1.0,,7
98,82.89780055098235,212,1.0,,7
99,76.12122287647799,318,1.0,,7
100,79.41345498990269,268,1.0,,7
101,79.76900274269282,261,1.0,,7
102,77.5461339652538,284,1.0,,7
103,79.3310305531835,270,1.0,,7
104,81.45757773236838,229,1.0,,7
105,72.59178838974331,351,1.0,,7
106,81.74656257308088,225,1.0,,7
107,82.56627005003395,218,1.0,,7
108,85.66425076082814,169,1.0,,7
109,86.78612687541172,160,1.0,,7
110,85.3680505622644,172,1.0,,7
111,76.38089819536543,314,1.0,,7
112,79.32815760094674,266,1.0,,7
113,86.41839720867574,161,1.0,,7
114,82.38835455402732,218,1.0,,7
115,83.0347050013952,213,1.0,,7
116,82.51474228557198,216,1.0,,7
117,76.17554925798902,295,1.0,,7
118,80.83929996727963,232,1.0,,7
119,76.2533920769929,312,1.0,,7
120,82.9247774126008,214,1.0,,7
121,79.7800858163275,261,1.0,,7
122,74.34559525973161,332,1.0,,7
123,82.88829639386385,212,1.0,,7
124,76.37689355141481,314,1.0,,7
125,86.81125889536924,160,1.0,,7
126,86.93589215802496,160,1.0,,7
127,86.87466198336334,161,1.0,,7
128,77.52576712742444,262,1.0,,7
129,75.62748698294159,281,1.0,,7
130,85.8058357872069,167,1.0,,7
131,82.71662463396788,213,1.0,,7
132,86.8677356345579,160,1.0,,7
133,82.49382841284388,216,1.0,,7
134,86.12475674971938,164,1.0,,7
135,77.64435364978853,283,1.0,,7
136,86.87109498884529,161,1.0,,7
137,80.951444217097,231,1.0,,7
138,76.83436956377702,307,1.0,,7
139,82.83919975385069,212,1.0,,7
140,79.74524189874064,261,1.0,,7
141,81.32718729227781,228,1.0,,7
142,86.41716478019953,161,1.0,,7
143,81.71919123455882,226,1.0,,7
144,79.83494406277313,261,1.0,,7
145,81.0991907440126,230,1.0,,7
146,70.42618143572469,368,1.0,,7
147,79.83878176911094,261,1.0,,7
148,86.32543955165893,162,1.0,,7
149,79.81259229620917,264,1.0,,7
150,74.88752413671462,328,1.0,,7
151,85.73634029161184,168,1.0,,7
152,82.64889792725444,214,1.0,,7
153,79.24932165499777,252,1.0,,7
154,82.2131367918104,220,1.0,,7
155,86.57277947124093,160,1.0,,7
156,76.4053713865578,293,1.0,,7
157,81.18075877279044,232,1.0,,7
158,79.67643968542107,262,1.0,,7
159,79.78305831227335,261,1.0,,7
160,81.59275945802221,226,1.0,,7
161,77.52556039113549,262,1.0,,7
162,82.81306833606214,215,1.0,,7
163,75.95159580036997,297,1.0,,7
164,86.55852263197302,160,1.0,,7
165,82.49061777591706,219,1.0,,7
166,86.32254983521997,162,1.0,,7
167,76.51549803726373,292,1.0,,7
168,79.58696151305922,263,1.0,,7
169,82.49467026777565,219,1.0,,7
170,82.48933741850779,219,1.0,,7
171,82.84235928989946,212,1.0,,7
172,85.26638149311766,173,1.0,,7
173,72.44906549360599,313,1.0,,7
174,81.64227085516322,226,1.0,,7
175,82.81575709506868,215,1.0,,7
176,86.62835872489958,160,1.0,,7
177,79.50255862651393,267,1.0,,7
178,82.68319513027092,214,1.0,,7
179,80.60183964502065,234,1.0,,7
180,86.6351375952363,160,1.0,,7
181,85.80528914369643,167,1.0,,7
182,82.57562836995348,217,1.0,,7
183,75.06667262790722,327,1.0,,7
184,82.49243408888579,219,1.0,,7
185,79.12557842002715,272,1.0,,7
186,86.5731352501316,160,1.0,,7
187,79.40205005632014,269,1.0,,7
188,79.92081007831729,263,1.0,,7
189,79.55548853971996,263,1.0,,7
190,77.37329963808877,285,1.0,,7
191,82.48590649049729,219,1.0,,7
192,86.70674113035201,160,1.0,,7
193,82.91190802827477,212,1.0,,7
194,79.59653858412057,266,1.0,,7
195,85.813955519069,167,1.0,,7
196,78.87918271269879,249,1.0,,7
197,82.83895218409599,212,1.0,,7
198,79.51585941473022,267,1.0,,7
199,76.12052077241242,318,1.0,,7
200,86.42749523409876,161,1.0,,7
