episode,reward,length,success,population_std,seed
1,-9.517079326929707,999,0.0,,21
2,-15.20146257129988,999,0.0,,21
3,-18.321576499275427,999,0.0,,21
4,-10.879061129695238,999,0.0,,21
5,-20.07622137435237,999,0.0,,21
6,5.01274142208275,999,0.0,,21
7,-7.519939076004193,999,0.0,,21
8,31.459434972784948,999,0.0,,21
9,16.18500930722803,999,0.0,,21
10,10.19427913124673,999,0.0,,21
11,-13.140294570935886,999,0.0,,21
12,35.570424288139414,999,0.0,,21
13,9.517802051268518,999,0.0,,21
14,-23.030616928613487,999,0.0,,21
15,17.439344618323958,999,0.0,,21
16,75.41936499108571,999,0.0,,21
17,10.877401160250884,999,0.0,,21
18,31.24021035444457,999,0.0,,21
19,2.295516447375121,999,0.0,,21
20,3.2792876535313553,999,0.0,,21
21,-11.468911395763383,999,0.0,,21
22,12.369710194907384,999,0.0,,21
23,2.6610172150321887,999,0.0,,21
24,10.533361322741257,999,0.0,,21
25,22.109426756505854,999,0.0,,21
26,10.748129218263784,999,0.0,,21
27,18.797091106243897,999,0.0,,21
28,6.370348167329212,999,0.0,,21
29,9.390119458985282,999,0.0,,21
30,0.10962996802618363,999,0.0,,21
31,9.875249432370765,999,0.0,,21
32,11.703408734756522,999,0.0,,21
33,14.296301802824019,999,0.0,,21
34,57.69991487615057,999,0.0,,21
35,52.57268886415992,999,0.0,,21
36,27.385806676629,999,0.0,,21
37,-23.282490385195434,999,0.0,,21
38,41.94030956637584,999,0.0,,21
39,61.94806985273036,999,0.0,,21
40,90.91159781366568,999,0.0,,21
41,80.3893876486922,999,0.0,,21
42,97.1464711940846,999,0.0,,21
43,46.07101558453884,999,0.0,,21
44,26.85680810413917,999,0.0,,21
45,39.74318733001146,999,0.0,,21
46,-23.36368149527088,999,0.0,,21
47,20.00242130132392,999,0.0,,21
48,20.34195253276266,999,0.0,,21
49,124.85487040682932,252,1.0,,21
50,125.07437083519767,237,1.0,,21
51,27.392659556644503,999,0.0,,21
52,10.074599650979508,999,0.0,,21
53,15.439969724830007,999,0.0,,21
54,18.57303106924519,999,0.0,,21
55,11.425019781017909,999,0.0,,21
56,120.79445277084596,210,1.0,,21
57,13.545107206009561,999,0.0,,21
58,-17.474092420621417,999,0.0,,21
59,10.62805799243506,999,0.0,,21
60,113.15327602176693,153,1.0,,21
61,117.11886966529998,202,1.0,,21
62,121.2525981686311,210,1.0,,21
63,116.9344759534113,158,1.0,,21
64,111.76334152626804,167,1.0,,21
65,112.22228699135012,153,1.0,,21
66,114.60770858172327,148,1.0,,21
67,113.29352579159894,149,1.0,,21
68,118.89918817448196,186,1.0,,21
69,116.18125378130934,151,1.0,,21
70,115.36580726671964,151,1.0,,21
71,103.59293787498027,80,1.0,,21
72,117.08057573551778,171,1.0,,21
73,114.60724946109114,154,1.0,,21
74,108.6212582106702,140,1.0,,21
75,-19.86595506025471,999,0.0,,21
76,112.56537530164934,156,1.0,,21
77,112.23827376856934,158,1.0,,21
78,105.50116856341484,80,1.0,,21
79,104.66328433970921,77,1.0,,21
80,103.5120328444289,85,1.0,,21
81,110.050644371158,211,1.0,,21
82,103.40576527905651,78,1.0,,21
83,-11.98884647894905,999,0.0,,21
84,103.04533809195273,76,1.0,,21
85,99.58786460494157,112,1.0,,21
86,101.05653420945747,83,1.0,,21
87,108.73999453524594,178,1.0,,21
88,102.41327580383513,67,1.0,,21
89,101.80672214500373,82,1.0,,21
90,103.60262809351552,75,1.0,,21
91,101.91542920882348,68,1.0,,21
92,102.21882576097269,66,1.0,,21
93,102.02926370212809,67,1.0,,21
94,102.74533652151004,66,1.0,,21
95,105.72817760984181,198,1.0,,21
96,102.64775931634941,67,1.0,,21
97,102.86314073302783,67,1.0,,21
98,100.87197818495333,68,1.0,,21
99,103.31773865378928,77,1.0,,21
100,102.45381990014576,66,1.0,,21
101,102.5411360019818,66,1.0,,21
102,101.6568251808174,67,1.0,,21
103,102.89183370219544,66,1.0,,21
104,101.8840803325642,66,1.0,,21
105,102.02836618616712,66,1.0,,21
106,102.58767392402515,66,1.0,,21
107,103.10796770639718,65,1.0,,21
108,100.27095654322765,67,1.0,,21
109,102.28534107119776,65,1.0,,21
110,102.72770070494153,65,1.0,,21
111,101.5375757715432,66,1.0,,21
112,100.96404259251432,67,1.0,,21
113,102.13703044780996,66,1.0,,21
114,100.4694447646616,67,1.0,,21
115,102.85873626042158,66,1.0,,21
116,101.75432097141166,66,1.0,,21
117,102.42412710594945,66,1.0,,21
118,102.90235431781039,66,1.0,,21
119,100.48892228294862,67,1.0,,21
120,100.95610418573489,67,1.0,,21
