episode,reward,length,success,seed
1,-200.0,200,0.0,21
2,-200.0,200,0.0,21
3,-200.0,200,0.0,21
4,-200.0,200,0.0,21
5,-200.0,200,0.0,21
6,-200.0,200,0.0,21
7,-200.0,200,0.0,21
8,-200.0,200,0.0,21
9,-200.0,200,0.0,21
10,-200.0,200,0.0,21
11,-200.0,200,0.0,21
12,-200.0,200,0.0,21
13,-200.0,200,0.0,21
14,-200.0,200,0.0,21
15,-200.0,200,0.0,21
16,-200.0,200,0.0,21
17,-200.0,200,0.0,21
18,-200.0,200,0.0,21
19,-200.0,200,0.0,21
20,-200.0,200,0.0,21
21,-200.0,200,0.0,21
22,-200.0,200,0.0,21
23,-200.0,200,0.0,21
24,-200.0,200,0.0,21
25,-200.0,200,0.0,21
26,-200.0,200,0.0,21
27,-200.0,200,0.0,21
28,-200.0,200,0.0,21
29,-200.0,200,0.0,21
30,-200.0,200,0.0,21
31,-200.0,200,0.0,21
32,-200.0,200,0.0,21
33,-200.0,200,0.0,21
34,-200.0,200,0.0,21
35,-200.0,200,0.0,21
36,-200.0,200,0.0,21
37,-200.0,200,0.0,21
38,-200.0,200,0.0,21
39,-200.0,200,0.0,21
40,-200.0,200,0.0,21
41,-200.0,200,0.0,21
42,-200.0,200,0.0,21
43,-200.0,200,0.0,21
44,-200.0,200,0.0,21
45,-200.0,200,0.0,21
46,-200.0,200,0.0,21
47,-200.0,200,0.0,21
48,-200.0,200,0.0,21
49,-200.0,200,0.0,21
50,-200.0,200,0.0,21
51,-200.0,200,0.0,21
52,-200.0,200,0.0,21
53,-200.0,200,0.0,21
54,-200.0,200,0.0,21
55,-200.0,200,0.0,21
56,-200.0,200,0.0,21
57,-200.0,200,0.0,21
58,-200.0,200,0.0,21
59,-200.0,200,0.0,21
60,-200.0,200,0.0,21
61,-200.0,200,0.0,21
62,-200.0,200,0.0,21
63,-200.0,200,0.0,21
64,-200.0,200,0.0,21
65,-200.0,200,0.0,21
66,-200.0,200,0.0,21
67,-200.0,200,0.0,21
68,-200.0,200,0.0,21
69,-200.0,200,0.0,21
70,-200.0,200,0.0,21
71,-200.0,200,0.0,21
72,-200.0,200,0.0,21
73,-200.0,200,0.0,21
74,-200.0,200,0.0,21
75,-200.0,200,0.0,21
76,-200.0,200,0.0,21
77,-200.0,200,0.0,21
78,-200.0,200,0.0,21
79,-200.0,200,0.0,21
80,-200.0,200,0.0,21
81,-200.0,200,0.0,21
82,-200.0,200,0.0,21
83,-200.0,200,0.0,21
84,-200.0,200,0.0,21
85,-200.0,200,0.0,21
86,-200.0,200,0.0,21
87,-200.0,200,0.0,21
88,-200.0,200,0.0,21
89,-200.0,200,0.0,21
90,-200.0,200,0.0,21
91,-200.0,200,0.0,21
92,-200.0,200,0.0,21
93,-200.0,200,0.0,21
94,-200.0,200,0.0,21
95,-200.0,200,0.0,21
96,-200.0,200,0.0,21
97,-200.0,200,0.0,21
98,-200.0,200,0.0,21
99,-200.0,200,0.0,21
100,-200.0,200,0.0,21
101,-200.0,200,0.0,21
102,-200.0,200,0.0,21
103,-200.0,200,0.0,21
104,-200.0,200,0.0,21
105,-200.0,200,0.0,21
106,-200.0,200,0.0,21
107,-200.0,200,0.0,21
108,-200.0,200,0.0,21
109,-200.0,200,0.0,21
110,-200.0,200,0.0,21
111,-200.0,200,0.0,21
112,-200.0,200,0.0,21
113,-200.0,200,0.0,21
114,-200.0,200,0.0,21
115,-200.0,200,0.0,21
116,-200.0,200,0.0,21
117,-200.0,200,0.0,21
118,-200.0,200,0.0,21
119,-200.0,200,0.0,21
120,-200.0,200,0.0,21
121,-200.0,200,0.0,21
122,-200.0,200,0.0,21
123,-200.0,200,0.0,21
124,-200.0,200,0.0,21
125,-200.0,200,0.0,21
126,-200.0,200,0.0,21
127,-200.0,200,0.0,21
128,-200.0,200,0.0,21
129,-200.0,200,0.0,21
130,-200.0,200,0.0,21
131,-200.0,200,0.0,21
132,-200.0,200,0.0,21
133,-200.0,200,0.0,21
134,-200.0,200,0.0,21
135,-200.0,200,0.0,21
136,-200.0,200,0.0,21
137,-200.0,200,0.0,21
138,-200.0,200,0.0,21
139,-200.0,200,0.0,21
140,-200.0,200,0.0,21
141,-200.0,200,0.0,21
142,-200.0,200,0.0,21
143,-200.0,200,0.0,21
144,-200.0,200,0.0,21
145,-200.0,200,0.0,21
146,-200.0,200,0.0,21
147,-200.0,200,0.0,21
148,-200.0,200,0.0,21
149,-200.0,200,0.0,21
150,-200.0,200,0.0,21
151,-200.0,200,0.0,21
152,-200.0,200,0.0,21
153,-200.0,200,0.0,21
154,-200.0,200,0.0,21
155,-200.0,200,0.0,21
156,-200.0,200,0.0,21
157,-200.0,200,0.0,21
158,-200.0,200,0.0,21
159,-200.0,200,0.0,21
160,-200.0,200,0.0,21
161,-200.0,200,0.0,21
162,-200.0,200,0.0,21
163,-200.0,200,0.0,21
164,-200.0,200,0.0,21
165,-200.0,200,0.0,21
166,-200.0,200,0.0,21
167,-200.0,200,0.0,21
168,-200.0,200,0.0,21
169,-200.0,200,0.0,21
170,-200.0,200,0.0,21
171,-200.0,200,0.0,21
172,-200.0,200,0.0,21
173,-200.0,200,0.0,21
174,-200.0,200,0.0,21
175,-200.0,200,0.0,21
176,-200.0,200,0.0,21
177,-200.0,200,0.0,21
178,-200.0,200,0.0,21
179,-200.0,200,0.0,21
180,-200.0,200,0.0,21
181,-200.0,200,0.0,21
182,-200.0,200,0.0,21
183,-200.0,200,0.0,21
184,-200.0,200,0.0,21
185,-200.0,200,0.0,21
186,-200.0,200,0.0,21
187,-200.0,200,0.0,21
188,-200.0,200,0.0,21
189,-200.0,200,0.0,21
190,-200.0,200,0.0,21
191,-200.0,200,0.0,21
192,-200.0,200,0.0,21
193,-200.0,200,0.0,21
194,-200.0,200,0.0,21
195,-200.0,200,0.0,21
196,-200.0,200,0.0,21
197,-200.0,200,0.0,21
198,-200.0,200,0.0,21
199,-200.0,200,0.0,21
200,-200.0,200,0.0,21
201,-200.0,200,0.0,21
202,-200.0,200,0.0,21
203,-200.0,200,0.0,21
204,-200.0,200,0.0,21
205,-200.0,200,0.0,21
206,-200.0,200,0.0,21
207,-200.0,200,0.0,21
208,-200.0,200,0.0,21
209,-200.0,200,0.0,21
210,-200.0,200,0.0,21
211,-200.0,200,0.0,21
212,-200.0,200,0.0,21
213,-200.0,200,0.0,21
214,-200.0,200,0.0,21
215,-200.0,200,0.0,21
216,-200.0,200,0.0,21
217,-200.0,200,0.0,21
218,-200.0,200,0.0,21
219,-200.0,200,0.0,21
220,-200.0,200,0.0,21
221,-200.0,200,0.0,21
222,-200.0,200,0.0,21
223,-200.0,200,0.0,21
224,-200.0,200,0.0,21
225,-200.0,200,0.0,21
226,-200.0,200,0.0,21
227,-200.0,200,0.0,21
228,-200.0,200,0.0,21
229,-200.0,200,0.0,21
230,-200.0,200,0.0,21
231,-200.0,200,0.0,21
232,-200.0,200,0.0,21
233,-200.0,200,0.0,21
234,-200.0,200,0.0,21
235,-200.0,200,0.0,21
236,-200.0,200,0.0,21
237,-200.0,200,0.0,21
238,-200.0,200,0.0,21
239,-200.0,200,0.0,21
240,-200.0,200,0.0,21
241,-200.0,200,0.0,21
242,-200.0,200,0.0,21
243,-200.0,200,0.0,21
244,-200.0,200,0.0,21
245,-200.0,200,0.0,21
246,-99.0,99,1.0,21
247,-200.0,200,0.0,21
248,-200.0,200,0.0,21
249,-200.0,200,0.0,21
250,-200.0,200,0.0,21
251,-200.0,200,0.0,21
252,-200.0,200,0.0,21
253,-200.0,200,0.0,21
254,-200.0,200,0.0,21
255,-200.0,200,0.0,21
256,-200.0,200,0.0,21
257,-172.0,172,1.0,21
