episode,reward,length,success,seed
1,-199.33143414004093,200,0.0,7
2,-198.49667074124963,200,0.0,7
3,-198.56689132668535,200,0.0,7
4,-199.02311037575126,200,0.0,7
5,-199.2638087391344,200,0.0,7
6,-199.05218935711903,200,0.0,7
7,-198.9141111170625,200,0.0,7
8,-198.60488344293105,200,0.0,7
9,-198.31731462003955,200,0.0,7
10,-199.41389355554276,200,0.0,7
11,-199.5617000945127,200,0.0,7
12,-199.51463668161958,200,0.0,7
13,-199.810909928436,200,0.0,7
14,-199.8241768098509,200,0.0,7
15,-198.9072763425487,200,0.0,7
16,-199.7478224692989,200,0.0,7
17,-199.7587091643669,200,0.0,7
18,-198.53080348300364,200,0.0,7
19,-198.9868481382204,200,0.0,7
20,-199.29459257269005,200,0.0,7
21,-199.65761123523632,200,0.0,7
22,-199.6142904833077,200,0.0,7
23,-198.97238716419372,200,0.0,7
24,-199.10606226457818,200,0.0,7
25,-198.97566409295243,200,0.0,7
26,-199.92236392253605,200,0.0,7
27,-199.9727120284877,200,0.0,7
28,-198.3665615597855,200,0.0,7
29,-199.50028141907532,200,0.0,7
30,-199.7565526857123,200,0.0,7
31,-199.6672923368132,200,0.0,7
32,-199.25876168166437,200,0.0,7
33,-198.89331207778594,200,0.0,7
34,-198.8909719413815,200,0.0,7
35,-199.34861379678475,200,0.0,7
36,-199.46188976331317,200,0.0,7
37,-199.12506939081936,200,0.0,7
38,-198.9511356610375,200,0.0,7
39,-199.75925656218914,200,0.0,7
40,-199.03082202594246,200,0.0,7
41,-199.58552187687025,200,0.0,7
42,-198.68206953466876,200,0.0,7
43,-199.23021161683994,200,0.0,7
44,-199.93846343494977,200,0.0,7
45,-199.75495204613148,200,0.0,7
46,-199.39674290237016,200,0.0,7
47,-199.0986100890444,200,0.0,7
48,-199.61899926324944,200,0.0,7
49,-199.4255150748984,200,0.0,7
50,-198.7553815927007,200,0.0,7
51,-199.75594146471556,200,0.0,7
52,-198.95567467356017,200,0.0,7
53,-199.25467116270815,200,0.0,7
54,-199.0790476025242,200,0.0,7
55,-198.38867699521643,200,0.0,7
56,-198.34919202178128,200,0.0,7
57,-198.95538708871172,200,0.0,7
58,-199.52179241750866,200,0.0,7
59,-199.34500288718124,200,0.0,7
60,-199.28739511734915,200,0.0,7
61,-199.19325004239937,200,0.0,7
62,-198.39023094912704,200,0.0,7
63,-198.5870168199239,200,0.0,7
64,-199.55554827222292,200,0.0,7
65,-199.87936740839163,200,0.0,7
66,-199.15296929476614,200,0.0,7
67,-199.56051975307352,200,0.0,7
68,-198.76276039072843,200,0.0,7
69,-199.64189769574617,200,0.0,7
70,-199.87061736825547,200,0.0,7
71,-198.8544120705672,200,0.0,7
72,-198.5895843303809,200,0.0,7
73,-199.44476666917905,200,0.0,7
74,-198.8800218923774,200,0.0,7
75,-199.09488638263352,200,0.0,7
76,-199.59185038402427,200,0.0,7
77,-198.96264470027944,200,0.0,7
78,-199.36727277429594,200,0.0,7
79,-199.7229203197558,200,0.0,7
80,-199.50804937469658,200,0.0,7
81,-199.04158607581013,200,0.0,7
82,-199.67759461952312,200,0.0,7
83,-199.74629752949477,200,0.0,7
84,-199.56710907313095,200,0.0,7
85,-199.86492361332387,200,0.0,7
86,-198.7086863854373,200,0.0,7
87,-199.91478224587155,200,0.0,7
88,-199.67494494179624,200,0.0,7
89,-199.0204428065335,200,0.0,7
90,-198.59890608002254,200,0.0,7
91,-199.62103726013862,200,0.0,7
92,-199.36685940853067,200,0.0,7
93,-199.45830259686184,200,0.0,7
94,-199.48683559619232,200,0.0,7
95,-199.69314186773485,200,0.0,7
96,-199.20193304492855,200,0.0,7
97,-199.35915850775064,200,0.0,7
98,-198.85158357496834,200,0.0,7
99,-199.47363193976784,200,0.0,7
100,-198.39891120386753,200,0.0,7
101,-198.86793446239315,200,0.0,7
102,-198.96117270916733,200,0.0,7
103,-199.03651921307713,200,0.0,7
104,-199.60317548849636,200,0.0,7
105,-199.8904137689343,200,0.0,7
106,-198.6435654273921,200,0.0,7
107,-199.66939662826843,200,0.0,7
108,-198.74812345413383,200,0.0,7
109,-198.98894537669267,200,0.0,7
110,-198.11849504612798,200,0.0,7
111,-198.88417431790734,200,0.0,7
112,-199.3375737993061,200,0.0,7
113,-198.59685640574452,200,0.0,7
114,-198.48854036441548,200,0.0,7
115,-199.5033789466886,200,0.0,7
116,-199.53593089443717,200,0.0,7
117,-199.50251489568748,200,0.0,7
118,-198.9851121713,200,0.0,7
119,-199.78495947807642,200,0.0,7
120,-199.73703580439184,200,0.0,7
121,-199.65126003159645,200,0.0,7
122,-199.9110238403513,200,0.0,7
123,-198.53768186251764,200,0.0,7
124,-199.1488317587792,200,0.0,7
125,-199.73726846363067,200,0.0,7
126,-198.69777329996575,200,0.0,7
127,-198.5542549999488,200,0.0,7
128,-199.13919908250395,200,0.0,7
129,-199.61283641536534,200,0.0,7
130,-198.83450494208734,200,0.0,7
131,-199.41374807766414,200,0.0,7
132,-199.19292575467264,200,0.0,7
133,-198.60095759741958,200,0.0,7
134,-198.8709991340308,200,0.0,7
135,-199.91443084768426,200,0.0,7
136,-199.7453749672329,200,0.0,7
137,-199.17634668614554,200,0.0,7
