episode,reward,length,success,population_std,seed
1,-198.4643550398876,200,0.0,,7
2,-198.62708579057957,200,0.0,,7
3,-199.33143414004093,200,0.0,,7
4,-199.23621262685518,200,0.0,,7
5,-198.49667074124963,200,0.0,,7
6,-199.61078009746205,200,0.0,,7
7,-198.56689132668535,200,0.0,,7
8,-198.59898294633956,200,0.0,,7
9,-199.02311037575126,200,0.0,,7
10,-199.23257909647722,200,0.0,,7
11,-199.24682440484477,200,0.0,,7
12,-199.20085122554926,200,0.0,,7
13,-199.9160238272659,200,0.0,,7
14,-199.83689895360962,200,0.0,,7
15,-198.82127666684534,200,0.0,,7
16,-198.26608559767203,200,0.0,,7
17,-198.55425458982165,200,0.0,,7
18,-199.43724128923205,200,0.0,,7
19,-199.9012210709346,200,0.0,,7
20,-199.3440119251405,200,0.0,,7
21,-199.41389355554276,200,0.0,,7
22,-199.4249937733315,200,0.0,,7
23,-199.55162194353684,200,0.0,,7
24,-199.57220055560424,200,0.0,,7
25,-199.8231517048763,200,0.0,,7
26,-199.88790182069627,200,0.0,,7
27,-199.810909928436,200,0.0,,7
28,-199.47119447703,200,0.0,,7
29,-199.8241768098509,200,0.0,,7
30,-199.237229722863,200,0.0,,7
31,-199.82101362799406,200,0.0,,7
32,-198.71237175109226,200,0.0,,7
33,-199.68195061365913,200,0.0,,7
34,-198.63701240301592,200,0.0,,7
35,-198.868163972684,200,0.0,,7
36,-199.98339469515338,200,0.0,,7
37,-198.5611922879653,200,0.0,,7
38,-199.40758674486858,200,0.0,,7
39,-199.4211976395905,200,0.0,,7
40,-198.98907208659398,200,0.0,,7
41,-199.3422242973204,200,0.0,,7
42,-198.96982145236976,200,0.0,,7
43,-199.72254392642253,200,0.0,,7
44,-199.45953214122642,200,0.0,,7
45,-199.53352492468528,200,0.0,,7
46,-198.76133674209422,200,0.0,,7
47,-199.78826541117454,200,0.0,,7
48,-199.29202320766817,200,0.0,,7
49,-199.7530962779087,200,0.0,,7
50,-199.1367280159981,200,0.0,,7
51,-199.02864821601256,200,0.0,,7
52,-199.35033202329646,200,0.0,,7
53,-199.48813679431044,200,0.0,,7
54,-199.6672923368132,200,0.0,,7
55,-199.71992097182928,200,0.0,,7
56,-199.25876168166437,200,0.0,,7
57,-199.79420451193002,200,0.0,,7
58,-199.3314248177539,200,0.0,,7
59,-199.68561124088438,200,0.0,,7
60,-199.79615020311337,200,0.0,,7
61,-198.6168693570595,200,0.0,,7
62,-199.34861379678475,200,0.0,,7
63,-199.38807453306805,200,0.0,,7
64,-199.33739972172106,200,0.0,,7
65,-199.46188976331317,200,0.0,,7
66,-199.37061717037284,200,0.0,,7
67,-199.99238526854754,200,0.0,,7
68,-199.095602764258,200,0.0,,7
69,-198.82630017591723,200,0.0,,7
70,-198.6921273747314,200,0.0,,7
71,-199.34755512269908,200,0.0,,7
72,-199.2411386584784,200,0.0,,7
73,-199.77964453982793,200,0.0,,7
74,-199.0562845933077,200,0.0,,7
75,-199.6013964082308,200,0.0,,7
76,-199.58552187687025,200,0.0,,7
77,-199.11987421875102,200,0.0,,7
78,-199.57897382002002,200,0.0,,7
79,-198.71687402654842,200,0.0,,7
80,-199.23021161683994,200,0.0,,7
81,-199.4824731565714,200,0.0,,7
82,-199.1909983051171,200,0.0,,7
83,-199.81138747141313,200,0.0,,7
84,-199.75495204613148,200,0.0,,7
85,-199.9496721625154,200,0.0,,7
86,-199.39674290237016,200,0.0,,7
87,-199.5154384769426,200,0.0,,7
88,-198.9965449012984,200,0.0,,7
89,-199.3064184691444,200,0.0,,7
90,-199.61899926324944,200,0.0,,7
91,-199.80084010803287,200,0.0,,7
92,-198.69061663809683,200,0.0,,7
93,-199.83138420797658,200,0.0,,7
94,-198.6492344982544,200,0.0,,7
95,-199.60348569982983,200,0.0,,7
96,-199.67625372518089,200,0.0,,7
97,-198.82035746624578,200,0.0,,7
98,-199.95086771800555,200,0.0,,7
99,-199.68223309118372,200,0.0,,7
100,-198.66108776005404,200,0.0,,7
101,-199.38451370831467,200,0.0,,7
102,-199.18900793492358,200,0.0,,7
103,-199.761742201915,200,0.0,,7
104,-199.1699764133366,200,0.0,,7
105,-199.81795645629575,200,0.0,,7
106,-198.73199958022317,200,0.0,,7
