episode,reward,length,success,population_std,seed
1,-56.36585081936885,999,0.0,,21
2,18.034385892678984,999,0.0,,21
3,16.12643540778663,999,0.0,,21
4,13.705391335388413,999,0.0,,21
5,32.66233099944657,999,0.0,,21
6,2.2860900358500658,999,0.0,,21
7,14.851289243088104,999,0.0,,21
8,31.459434972784948,999,0.0,,21
9,16.18500930722803,999,0.0,,21
10,10.19427913124673,999,0.0,,21
11,15.96983901647036,999,0.0,,21
12,33.29855812713504,999,0.0,,21
13,9.517802051268518,999,0.0,,21
14,25.85448796278797,999,0.0,,21
15,17.439344618323958,999,0.0,,21
16,8.846523125612293,999,0.0,,21
17,10.877401160250884,999,0.0,,21
18,31.24021035444457,999,0.0,,21
19,2.295516447375121,999,0.0,,21
20,3.2792876535313553,999,0.0,,21
21,15.096562915859977,999,0.0,,21
22,3.21899661423231,999,0.0,,21
23,20.9734691795893,999,0.0,,21
24,6.720354830176802,999,0.0,,21
25,4.981541118468158,999,0.0,,21
26,9.875249432370765,999,0.0,,21
27,11.703408734756522,999,0.0,,21
28,14.296301802824019,999,0.0,,21
29,5.844437886044034,999,0.0,,21
30,20.214362057158723,999,0.0,,21
31,10.445117047056556,999,0.0,,21
32,29.474005643860437,999,0.0,,21
33,18.138404763885774,999,0.0,,21
34,10.933558690157952,999,0.0,,21
35,1.08364912351135,999,0.0,,21
36,23.91265716723865,999,0.0,,21
37,6.55882658342307,999,0.0,,21
38,13.834697226702701,999,0.0,,21
39,20.334939986350946,999,0.0,,21
40,14.526436293963343,999,0.0,,21
41,32.22252186300466,999,0.0,,21
42,17.956753325415775,999,0.0,,21
43,16.803462462557945,999,0.0,,21
44,11.552260010212194,999,0.0,,21
45,3.600931677756307,999,0.0,,21
46,29.39259250764735,999,0.0,,21
47,20.00242130132392,999,0.0,,21
48,20.34195253276266,999,0.0,,21
49,15.737522513809381,999,0.0,,21
50,2.3583627799598617,999,0.0,,21
51,11.168325043399818,999,0.0,,21
52,2.1866495125323127,999,0.0,,21
53,6.962079138320405,999,0.0,,21
54,20.765462541312445,999,0.0,,21
55,27.965122187451925,999,0.0,,21
56,23.16650665772613,999,0.0,,21
57,14.379751214582939,999,0.0,,21
58,22.247851712163538,999,0.0,,21
59,20.166034138237592,999,0.0,,21
60,13.601275834953412,999,0.0,,21
61,17.5422187166987,999,0.0,,21
62,3.2974234257926582,999,0.0,,21
63,24.409622403327376,999,0.0,,21
64,16.86631005592062,999,0.0,,21
65,104.73007145786542,77,1.0,,21
66,12.052108261123067,999,0.0,,21
67,105.36937277804827,84,1.0,,21
68,104.56188771434827,75,1.0,,21
69,19.387126198562328,999,0.0,,21
70,115.0400444440544,157,1.0,,21
71,2.7205049969052197,999,0.0,,21
72,114.42529170317286,178,1.0,,21
73,111.60256979198894,150,1.0,,21
74,105.09580542644252,72,1.0,,21
75,105.05718626442831,75,1.0,,21
76,117.10947494789727,193,1.0,,21
77,11.36824077781057,999,0.0,,21
78,10.242643677047454,999,0.0,,21
79,114.88336343782431,150,1.0,,21
80,103.8295799485466,72,1.0,,21
81,103.35849027584773,72,1.0,,21
82,103.29385314442334,72,1.0,,21
83,114.95587295521983,152,1.0,,21
84,102.78463964550757,68,1.0,,21
85,104.32635128912517,104,1.0,,21
86,102.4846477936022,66,1.0,,21
87,102.96085521448404,67,1.0,,21
88,100.91950596440584,68,1.0,,21
89,104.11743834679947,70,1.0,,21
90,102.59438153845258,66,1.0,,21
91,103.01199906878173,65,1.0,,21
92,100.94872811618262,67,1.0,,21
93,101.5656103907153,66,1.0,,21
94,102.93981179016409,116,1.0,,21
95,103.14877581340261,65,1.0,,21
96,101.87723396602087,65,1.0,,21
97,105.13112688693218,115,1.0,,21
98,101.74551212184598,70,1.0,,21
99,100.64877834445798,67,1.0,,21
100,104.70798634055537,113,1.0,,21
101,100.72550617258531,67,1.0,,21
102,101.13948851167225,67,1.0,,21
103,101.69458899446764,66,1.0,,21
104,106.15378280016594,121,1.0,,21
105,98.85838878748473,75,1.0,,21
106,100.56701823412442,67,1.0,,21
107,101.94502338683233,66,1.0,,21
108,101.08738311249763,66,1.0,,21
109,101.01243446148001,66,1.0,,21
110,99.892300355935,68,1.0,,21
111,101.42461242070422,66,1.0,,21
112,102.79941395414062,65,1.0,,21
113,99.50172510795528,70,1.0,,21
114,101.91586936507375,66,1.0,,21
115,100.72919342650567,67,1.0,,21
116,103.07477059680969,65,1.0,,21
117,102.86414492209443,66,1.0,,21
118,99.95873322712724,69,1.0,,21
119,102.88925731927156,65,1.0,,21
120,101.10034773566295,66,1.0,,21
121,102.09046452329494,65,1.0,,21
122,100.48482100928669,67,1.0,,21
123,100.76398119314109,67,1.0,,21
124,99.9465846426785,68,1.0,,21
125,101.37518769812306,67,1.0,,21
126,102.78243506592699,66,1.0,,21
127,101.1861151599791,66,1.0,,21
128,102.2132056930568,65,1.0,,21
129,101.15368622213137,66,1.0,,21
130,100.53982370982412,67,1.0,,21
131,101.39650123808534,66,1.0,,21
132,100.31527379686013,67,1.0,,21
133,101.31107077209745,66,1.0,,21
134,101.45204752832652,66,1.0,,21
135,102.68167043719441,66,1.0,,21
