episode,reward,length,success,population_std,seed
1,-143.7317726330366,200,0.0,,21
2,-153.15184077015147,200,0.0,,21
3,-185.98128320707474,200,0.0,,21
4,-183.90289119004592,200,0.0,,21
5,-168.89583567579393,200,0.0,,21
6,-159.70377606194234,200,0.0,,21
7,-147.0954068566789,200,0.0,,21
8,-136.95076841594528,200,0.0,,21
9,-124.14597853960004,200,0.0,,21
10,-139.31802786828484,200,0.0,,21
11,-136.10184676719655,200,0.0,,21
12,-121.96915346255992,200,0.0,,21
13,-58.29285036295187,147,1.0,,21
14,-59.56335174808919,146,1.0,,21
15,-66.9101973338984,148,1.0,,21
16,-68.25141184392851,148,1.0,,21
17,-61.57117542711785,147,1.0,,21
18,-69.85696652939077,149,1.0,,21
19,-61.00182002573274,147,1.0,,21
20,-57.74931483322871,147,1.0,,21
21,-55.59284384199418,148,1.0,,21
22,-55.46387741784565,149,1.0,,21
23,-58.079520026105456,147,1.0,,21
24,-56.342634286382236,148,1.0,,21
25,-74.6679194047465,110,1.0,,21
26,-74.92569089389872,162,1.0,,21
27,-83.90132002584869,171,1.0,,21
28,-51.852054324466735,89,1.0,,21
29,-46.33026908268221,85,1.0,,21
30,-53.32800710340962,90,1.0,,21
31,-82.14181742694927,164,1.0,,21
32,-89.80787574040005,182,1.0,,21
33,-66.95883349562064,102,1.0,,21
34,-94.97734666283941,189,1.0,,21
35,-45.347651154501364,84,1.0,,21
36,-46.58589505823329,85,1.0,,21
37,-82.985144177248,162,1.0,,21
38,-57.994332037400454,94,1.0,,21
39,-57.97114833933301,94,1.0,,21
40,-82.53532303497195,165,1.0,,21
41,-50.784737774636596,88,1.0,,21
42,-83.99755790337804,162,1.0,,21
43,-49.53781190956943,87,1.0,,21
44,-84.07235102687264,162,1.0,,21
45,-48.08166574826464,86,1.0,,21
46,-88.49684733591857,180,1.0,,21
47,-137.11497447719012,200,0.0,,21
48,-50.85371501580812,88,1.0,,21
49,-58.9940036367625,95,1.0,,21
50,-85.12488520826446,174,1.0,,21
51,-76.64758083867628,153,1.0,,21
52,-73.2104357862845,163,1.0,,21
