episode,reward,length,success,population_std,seed
1,-138.93182957282988,200,0.0,,42
2,-119.97073538601398,200,0.0,,42
3,-121.31091450632084,200,0.0,,42
4,-105.30617682423326,200,0.0,,42
5,-124.4957847481055,200,0.0,,42
6,-120.67520826298278,200,0.0,,42
7,-128.96528306184337,200,0.0,,42
8,-182.74198374863772,200,0.0,,42
9,-160.27828329202748,200,0.0,,42
10,-106.8417389318347,200,0.0,,42
11,33.97367137024412,126,1.0,,42
12,35.949572475627065,147,1.0,,42
13,-97.51526850101072,200,0.0,,42
14,30.308910075807944,147,1.0,,42
15,19.988437324180268,187,1.0,,42
16,42.52076301607303,140,1.0,,42
17,41.737061232794076,139,1.0,,42
18,26.029029540950432,130,1.0,,42
19,23.195014266879298,171,1.0,,42
20,42.67298441089224,140,1.0,,42
21,42.53949344716966,141,1.0,,42
22,35.04009598970879,133,1.0,,42
23,35.31001788331196,135,1.0,,42
24,37.20124028855935,135,1.0,,42
25,46.349839300033636,144,1.0,,42
26,35.35365062300116,135,1.0,,42
27,39.346428530989215,135,1.0,,42
28,46.38512058148626,144,1.0,,42
29,41.99947100857389,137,1.0,,42
30,45.57003706647083,142,1.0,,42
31,34.992067038750974,131,1.0,,42
32,41.90607060635375,137,1.0,,42
33,45.06485487072496,140,1.0,,42
34,44.92890548755531,139,1.0,,42
35,20.56150900106877,164,1.0,,42
36,19.961276369635016,166,1.0,,42
37,20.753547322703525,163,1.0,,42
38,10.270247974968925,165,1.0,,42
39,9.802678967404063,184,1.0,,42
40,56.8847959889099,83,1.0,,42
41,6.368559337453917,188,1.0,,42
42,19.58351778727956,168,1.0,,42
43,15.558949663012754,176,1.0,,42
44,-111.16312898579054,200,0.0,,42
45,20.407465170370415,164,1.0,,42
46,19.589957534568384,164,1.0,,42
47,8.086038041859865,186,1.0,,42
48,37.26732679491397,114,1.0,,42
49,46.666842949343845,115,1.0,,42
50,52.262793995440006,112,1.0,,42
51,54.6438581708353,84,1.0,,42
52,41.20048693474382,116,1.0,,42
53,40.93004310247488,116,1.0,,42
54,41.78313386882655,94,1.0,,42
55,39.68661327473819,96,1.0,,42
56,43.91785445949063,116,1.0,,42
57,37.34796245896723,114,1.0,,42
58,36.30217834166251,99,1.0,,42
