episode,reward,length,success,population_std,seed
1,78.78652107417442,999,0.0,,21
2,-11.342665390955522,999,0.0,,21
3,144.09351658268554,786,1.0,,21
4,150.25179580019028,871,1.0,,21
5,32.97618613424856,999,0.0,,21
6,46.486251193454876,999,0.0,,21
7,28.03997895575231,999,0.0,,21
8,-15.219417406083428,999,0.0,,21
9,4.479197541867323,999,0.0,,21
10,-10.777275198111953,999,0.0,,21
11,166.18681001993082,970,1.0,,21
12,58.33331772384043,999,0.0,,21
13,-14.879224210822397,999,0.0,,21
14,-30.041104214420137,999,0.0,,21
15,24.36337337208714,999,0.0,,21
16,32.49133275319866,999,0.0,,21
17,-12.380944022586384,999,0.0,,21
18,38.22017872469754,999,0.0,,21
19,-18.426222288625663,999,0.0,,21
20,-7.8836570563824795,999,0.0,,21
21,15.943476195731991,999,0.0,,21
22,16.78008550640542,999,0.0,,21
23,160.2021578404707,943,1.0,,21
24,165.38040580895682,882,1.0,,21
25,55.807271049011995,999,0.0,,21
26,0.9757284530301937,999,0.0,,21
27,10.312472242649072,999,0.0,,21
28,71.53242525442215,999,0.0,,21
29,170.10552322628794,878,1.0,,21
30,69.59962129282579,999,0.0,,21
31,42.07366392342359,999,0.0,,21
32,25.77722436849436,999,0.0,,21
33,49.05717831565872,999,0.0,,21
34,31.21395085708208,999,0.0,,21
35,172.56822899531363,887,1.0,,21
36,167.16901729529621,871,1.0,,21
37,58.22551951853346,999,0.0,,21
38,60.016239201017015,999,0.0,,21
39,60.135975757863356,999,0.0,,21
40,37.767834661907195,999,0.0,,21
41,167.28314666686958,942,1.0,,21
42,65.22443188527305,999,0.0,,21
43,170.67512287501617,948,1.0,,21
44,158.5834089627875,837,1.0,,21
45,162.3278517626313,798,1.0,,21
46,23.03302152588218,999,0.0,,21
47,47.98165629917083,999,0.0,,21
48,169.38084614885224,886,1.0,,21
49,164.9280451759754,944,1.0,,21
50,-2.6198959979971264,999,0.0,,21
51,163.26255107677645,835,1.0,,21
52,13.566149130634466,999,0.0,,21
53,63.839189837255944,999,0.0,,21
54,38.42299523276342,999,0.0,,21
55,171.83258111715725,932,1.0,,21
56,159.89621523570528,723,1.0,,21
57,169.4472328585449,921,1.0,,21
58,166.29619070057043,876,1.0,,21
59,164.79850145243032,838,1.0,,21
60,162.22582886076566,905,1.0,,21
61,167.99214583280263,881,1.0,,21
62,34.044149986784234,999,0.0,,21
63,163.31645693336537,942,1.0,,21
64,165.84518573186352,806,1.0,,21
65,53.46480758059207,999,0.0,,21
66,53.26174377176727,999,0.0,,21
67,27.952167028923753,999,0.0,,21
68,172.13470712386788,934,1.0,,21
69,171.67413173784328,931,1.0,,21
70,39.10513633854205,999,0.0,,21
71,158.21268025754745,724,1.0,,21
72,160.39561976262948,907,1.0,,21
73,49.4230795997081,999,0.0,,21
74,170.9744810032764,961,1.0,,21
75,161.81263281924367,869,1.0,,21
76,35.57909323719903,999,0.0,,21
77,171.2690209245881,837,1.0,,21
78,61.002032342801954,999,0.0,,21
79,20.233557886291376,999,0.0,,21
80,18.2277030232627,999,0.0,,21
81,50.78010676231817,999,0.0,,21
82,161.01530719519286,832,1.0,,21
83,47.95601301584773,999,0.0,,21
84,161.92832783885802,869,1.0,,21
85,173.5507956590591,977,1.0,,21
86,163.23732109988202,835,1.0,,21
87,52.921708472834666,999,0.0,,21
88,15.26704161202834,999,0.0,,21
89,167.57823014977362,812,1.0,,21
90,27.9995390331531,999,0.0,,21
91,51.57643348047303,999,0.0,,21
92,17.42557094575162,999,0.0,,21
93,58.81764013481846,999,0.0,,21
94,65.72826463524467,999,0.0,,21
95,60.06900164212349,999,0.0,,21
96,167.95188426024214,881,1.0,,21
97,162.73052305685485,798,1.0,,21
98,31.083823840826522,999,0.0,,21
99,60.07628818984299,999,0.0,,21
100,162.7766430962256,834,1.0,,21
101,19.909478574895378,999,0.0,,21
102,160.54133178419468,870,1.0,,21
103,171.10236685662068,928,1.0,,21
104,15.520934250682332,999,0.0,,21
105,161.4220392842239,869,1.0,,21
106,160.5542617027295,834,1.0,,21
107,163.02704626078042,978,1.0,,21
108,164.75559256596898,838,1.0,,21
109,161.46923589747092,869,1.0,,21
110,48.84973768997851,999,0.0,,21
111,165.2493414472621,909,1.0,,21
112,167.16298437027956,870,1.0,,21
113,46.4555066561079,999,0.0,,21
114,40.31703693410272,999,0.0,,21
115,13.388423067048167,999,0.0,,21
116,51.48134668308555,999,0.0,,21
117,1.2608258918817228,999,0.0,,21
118,41.092888393439445,999,0.0,,21
119,7.060129452188674,999,0.0,,21
120,71.30229349749978,999,0.0,,21
121,30.290357395750227,999,0.0,,21
122,70.43611915380936,999,0.0,,21
123,43.01587407637126,999,0.0,,21
124,2.389710562626175,999,0.0,,21
125,172.76033825109295,885,1.0,,21
126,16.314405304441248,999,0.0,,21
127,35.343860022706544,999,0.0,,21
128,14.668652242029383,999,0.0,,21
129,167.17937047346817,870,1.0,,21
130,55.19812114484814,999,0.0,,21
131,4.158345947837461,999,0.0,,21
132,6.913790927522384,999,0.0,,21
133,38.62548022098199,999,0.0,,21
134,15.272131675647874,999,0.0,,21
135,38.40363085601965,999,0.0,,21
136,37.71915361341761,999,0.0,,21
137,69.23538882929718,999,0.0,,21
138,178.4856435452768,984,1.0,,21
139,36.97724292133865,999,0.0,,21
140,169.9606712514967,876,1.0,,21
141,168.3506887729307,872,1.0,,21
142,59.88408189573019,999,0.0,,21
143,167.3807934567394,871,1.0,,21
144,26.559915620925963,999,0.0,,21
145,32.85766313691466,999,0.0,,21
146,51.93023192076902,999,0.0,,21
147,18.636977818403828,999,0.0,,21
148,69.85639084485592,999,0.0,,21
149,164.17398277075847,871,1.0,,21
150,23.40207746189988,999,0.0,,21
151,39.566085493777805,999,0.0,,21
152,66.04421842119015,999,0.0,,21
153,20.457222621462467,999,0.0,,21
154,34.79841517449802,999,0.0,,21
155,11.344176879110826,999,0.0,,21
156,43.649981920653325,999,0.0,,21
157,63.570614139603265,999,0.0,,21
158,36.92490296474569,999,0.0,,21
159,58.70546024772304,999,0.0,,21
160,68.34387379529034,999,0.0,,21
161,166.07290824949666,870,1.0,,21
162,173.43671904097954,888,1.0,,21
163,19.511067944141264,999,0.0,,21
164,23.37770943651777,999,0.0,,21
165,43.80219922015492,999,0.0,,21
166,170.68134663996153,946,1.0,,21
167,14.763256482701946,999,0.0,,21
168,5.096417535560885,999,0.0,,21
169,13.717903286623978,999,0.0,,21
170,165.9298690580738,944,1.0,,21
171,169.65089717006535,875,1.0,,21
172,65.7283201726936,999,0.0,,21
173,51.06445822888129,999,0.0,,21
174,1.1238466710020134,999,0.0,,21
175,53.15004429367107,999,0.0,,21
176,178.46986902285107,984,1.0,,21
177,37.88756117711088,999,0.0,,21
178,8.105195191199076,999,0.0,,21
179,167.3879330828815,944,1.0,,21
180,173.61914476737672,889,1.0,,21
181,30.03805408522786,999,0.0,,21
