episode,reward,length,success,population_std,seed
1,-38.68348214884756,141,1.0,,7
2,-38.68348214884756,141,1.0,,7
3,-38.68348214884756,141,1.0,,7
4,-38.68348214884756,141,1.0,,7
5,-38.68348214884756,141,1.0,,7
6,-38.68348214884756,141,1.0,,7
7,-38.68348214884756,141,1.0,,7
8,-38.68348214884756,141,1.0,,7
9,-38.68348214884756,141,1.0,,7
10,-38.68348214884756,141,1.0,,7
11,-38.68348214884756,141,1.0,,7
12,-38.68348214884756,141,1.0,,7
13,-38.68348214884756,141,1.0,,7
14,-38.68348214884756,141,1.0,,7
15,-38.68348214884756,141,1.0,,7
16,-38.68348214884756,141,1.0,,7
17,-38.68348214884756,141,1.0,,7
18,-38.68348214884756,141,1.0,,7
19,-38.68348214884756,141,1.0,,7
20,-38.68348214884756,141,1.0,,7
21,-38.68348214884756,141,1.0,,7
22,-38.68348214884756,141,1.0,,7
23,-38.68348214884756,141,1.0,,7
24,-38.68348214884756,141,1.0,,7
25,-38.68348214884756,141,1.0,,7
26,-38.68348214884756,141,1.0,,7
27,-38.68348214884756,141,1.0,,7
28,-38.68348214884756,141,1.0,,7
29,-38.68348214884756,141,1.0,,7
30,-38.68348214884756,141,1.0,,7
31,-38.68348214884756,141,1.0,,7
32,-38.68348214884756,141,1.0,,7
33,-38.68348214884756,141,1.0,,7
34,-38.68348214884756,141,1.0,,7
35,-38.68348214884756,141,1.0,,7
36,-38.68348214884756,141,1.0,,7
37,-38.68348214884756,141,1.0,,7
38,-38.68348214884756,141,1.0,,7
39,-38.68348214884756,141,1.0,,7
40,-38.68348214884756,141,1.0,,7
41,-38.68348214884756,141,1.0,,7
42,-38.68348214884756,141,1.0,,7
43,-38.68348214884756,141,1.0,,7
44,-38.68348214884756,141,1.0,,7
45,-38.68348214884756,141,1.0,,7
46,-38.68348214884756,141,1.0,,7
47,-38.68348214884756,141,1.0,,7
48,-38.68348214884756,141,1.0,,7
49,-38.68348214884756,141,1.0,,7
50,-38.68348214884756,141,1.0,,7
51,-38.68348214884756,141,1.0,,7
52,-38.68348214884756,141,1.0,,7
53,-38.68348214884756,141,1.0,,7
54,-38.68348214884756,141,1.0,,7
55,-38.68348214884756,141,1.0,,7
56,-38.68348214884756,141,1.0,,7
57,-38.68348214884756,141,1.0,,7
58,-38.68348214884756,141,1.0,,7
59,-38.68348214884756,141,1.0,,7
60,-38.68348214884756,141,1.0,,7
61,-38.68348214884756,141,1.0,,7
62,-38.68348214884756,141,1.0,,7
63,-38.68348214884756,141,1.0,,7
64,-38.68348214884756,141,1.0,,7
65,-38.68348214884756,141,1.0,,7
66,-38.68348214884756,141,1.0,,7
67,-38.68348214884756,141,1.0,,7
68,-38.68348214884756,141,1.0,,7
69,-38.68348214884756,141,1.0,,7
70,-38.68348214884756,141,1.0,,7
71,-38.68348214884756,141,1.0,,7
72,-38.68348214884756,141,1.0,,7
73,-38.68348214884756,141,1.0,,7
74,-38.68348214884756,141,1.0,,7
75,-38.68348214884756,141,1.0,,7
76,-38.68348214884756,141,1.0,,7
77,-38.68348214884756,141,1.0,,7
78,-38.68348214884756,141,1.0,,7
79,-38.68348214884756,141,1.0,,7
80,-38.68348214884756,141,1.0,,7
81,-38.68348214884756,141,1.0,,7
82,-38.68348214884756,141,1.0,,7
83,-38.68348214884756,141,1.0,,7
84,-38.68348214884756,141,1.0,,7
85,-38.68348214884756,141,1.0,,7
86,-38.68348214884756,141,1.0,,7
87,-38.68348214884756,141,1.0,,7
88,-38.68348214884756,141,1.0,,7
89,-38.68348214884756,141,1.0,,7
90,-38.68348214884756,141,1.0,,7
91,-38.68348214884756,141,1.0,,7
92,-38.68348214884756,141,1.0,,7
93,-38.68348214884756,141,1.0,,7
94,-38.68348214884756,141,1.0,,7
95,-38.68348214884756,141,1.0,,7
96,-38.68348214884756,141,1.0,,7
97,-38.68348214884756,141,1.0,,7
98,-38.68348214884756,141,1.0,,7
99,-38.68348214884756,141,1.0,,7
100,-38.68348214884756,141,1.0,,7
