episode,reward,length,success,population_std,seed
1,-55.256707520864346,999,0.0,,21
2,-52.93673728554277,999,0.0,,21
3,-52.6534468819038,999,0.0,,21
4,-53.866964453255,999,0.0,,21
5,-55.06724162984755,999,0.0,,21
6,-55.829355537478165,999,0.0,,21
7,-56.656062115012865,999,0.0,,21
8,-56.80896374264852,999,0.0,,21
9,-56.21319695640131,999,0.0,,21
10,-53.79006428089342,999,0.0,,21
11,-49.773174834821795,999,0.0,,21
12,-45.88514685137481,999,0.0,,21
13,-43.47819228388248,999,0.0,,21
14,-42.102010396943626,999,0.0,,21
15,-40.006300962396224,999,0.0,,21
16,-36.85178475144786,999,0.0,,21
17,-32.47388626218599,999,0.0,,21
18,-26.90252030177215,999,0.0,,21
19,-21.008511400281,999,0.0,,21
20,-15.544975485804022,999,0.0,,21
21,-8.975864855875262,999,0.0,,21
22,-3.7245875528722534,999,0.0,,21
23,-2.8609225365740665,999,0.0,,21
24,-4.675144470494705,999,0.0,,21
25,-6.7960181325383004,999,0.0,,21
26,-8.312418586848079,999,0.0,,21
27,-8.495387950551233,999,0.0,,21
28,-8.437376833229797,999,0.0,,21
29,-8.615801249560914,999,0.0,,21
30,-7.871521334204599,999,0.0,,21
31,-6.044935957889548,999,0.0,,21
32,-4.47823838829063,999,0.0,,21
33,-3.3100571772665695,999,0.0,,21
34,-2.0877460109360966,999,0.0,,21
35,-1.674588389869315,999,0.0,,21
36,-1.6459411833842759,999,0.0,,21
37,-2.398770250444064,999,0.0,,21
38,-3.2296241589065184,999,0.0,,21
39,-3.4939949122432123,999,0.0,,21
40,-2.8916550944501083,999,0.0,,21
41,-1.9141407254152005,999,0.0,,21
42,-1.5334174569870809,999,0.0,,21
43,-1.215944840142037,999,0.0,,21
44,-0.935638898308389,999,0.0,,21
45,-0.9043479709303937,999,0.0,,21
46,-0.9478059637011031,999,0.0,,21
47,-1.0879564490867775,999,0.0,,21
48,-1.1230389828851903,999,0.0,,21
49,-1.7000550078810193,999,0.0,,21
50,-2.0170954734203423,999,0.0,,21
51,-1.5805450750049193,999,0.0,,21
52,-0.9772304985090149,999,0.0,,21
53,-0.7157498356245925,999,0.0,,21
54,-0.489457754348405,999,0.0,,21
55,-0.5306749791838232,999,0.0,,21
56,-0.5837903846113471,999,0.0,,21
57,-0.4869339257071256,999,0.0,,21
58,-0.20571416162420061,999,0.0,,21
59,-0.18497616490931237,999,0.0,,21
60,-0.607718830072554,999,0.0,,21
61,-1.6606967474741405,999,0.0,,21
62,-4.63951631926466,999,0.0,,21
63,-6.471027296461405,999,0.0,,21
64,-8.150768795004106,999,0.0,,21
65,-10.538179278164163,999,0.0,,21
66,-11.514269964059363,999,0.0,,21
67,-11.080603230092686,999,0.0,,21
68,-9.774642425728961,999,0.0,,21
69,-7.676076441223262,999,0.0,,21
70,-4.3730285893776495,999,0.0,,21
71,-0.684449175925694,999,0.0,,21
72,0.0029726157488764032,999,0.0,,21
73,-1.6960021828650496,999,0.0,,21
74,-5.673495477670805,999,0.0,,21
75,-8.995616909919777,999,0.0,,21
76,-10.952538640960107,999,0.0,,21
77,-11.318721542716956,999,0.0,,21
78,-10.99482710456942,999,0.0,,21
79,-9.337011164013537,999,0.0,,21
80,-7.3196721393906055,999,0.0,,21
