episode,reward,length,success,population_std,seed
1,-16.17845310210244,999,0.0,0.47996389865875244,21
2,-17.8506829397057,999,0.0,0.4705914855003357,21
3,-0.1443731127647987,999,0.0,0.45254114270210266,21
4,66.98809509434821,476,1.0,0.4433678984642029,21
5,49.69654487838937,783,1.0,0.4322872757911682,21
6,85.99292970450642,606,1.0,0.4127577543258667,21
7,88.60631184780044,346,1.0,0.40456855297088623,21
8,89.1330475539822,319,1.0,0.3940151631832123,21
9,91.91464939093511,343,1.0,0.3515392243862152,21
10,95.0761387223033,415,1.0,0.2954935133457184,21
11,95.77468948458987,452,1.0,0.24024569988250732,21
12,96.4265622908388,303,1.0,0.17670978605747223,21
13,95.3785242727282,415,1.0,0.1640249341726303,21
14,94.8380219178892,378,1.0,0.14544065296649933,21
15,94.79692393400128,453,1.0,0.14997927844524384,21
16,95.70266280387179,415,1.0,0.15251941978931427,21
17,94.74394486907941,416,1.0,0.16139169037342072,21
18,96.83320827557267,313,1.0,0.16327036917209625,21
19,96.08209983315946,490,1.0,0.1600482165813446,21
20,94.01362232515912,711,1.0,0.14038963615894318,21
21,94.78816808837173,416,1.0,0.13757014274597168,21
22,94.36329512066385,453,1.0,0.13610632717609406,21
23,94.11705822042093,821,1.0,0.15174642205238342,21
24,95.21851082674156,599,1.0,0.15092593431472778,21
25,94.88707619079413,563,1.0,0.15067903697490692,21
26,97.62310020511545,400,1.0,0.15787839889526367,21
27,97.16589805048739,417,1.0,0.17816701531410217,21
28,97.93030757859476,369,1.0,0.15923935174942017,21
29,97.22704937606501,482,1.0,0.1627711057662964,21
30,97.56757785979961,337,1.0,0.15228188037872314,21
31,97.57086344333251,403,1.0,0.16752541065216064,21
32,97.63347719765827,301,1.0,0.1495436429977417,21
33,97.59697856994646,369,1.0,0.16393819451332092,21
34,97.61267581232136,434,1.0,0.16460242867469788,21
35,97.064307676332,753,1.0,0.17247936129570007,21
36,97.94148336924847,298,1.0,0.17788568139076233,21
37,97.98530659544643,404,1.0,0.18245945870876312,21
38,98.01464625229855,368,1.0,0.16955916583538055,21
39,97.53894360354337,338,1.0,0.13175031542778015,21
40,97.9318626779411,366,1.0,0.14462539553642273,21
41,97.72195903053098,297,1.0,0.14286845922470093,21
42,97.73908591440656,430,1.0,0.11428496241569519,21
43,97.81893128652827,363,1.0,0.1056966558098793,21
44,97.65894297290852,332,1.0,0.10486770421266556,21
45,97.34277092687685,412,1.0,0.10050354152917862,21
46,97.71465085729906,598,1.0,0.10483121126890182,21
47,98.05155689360298,368,1.0,0.10399569571018219,21
48,96.58966650431184,397,1.0,0.10316682606935501,21
49,97.65429489162368,432,1.0,0.09939970821142197,21
50,97.38980091512083,477,1.0,0.09768013656139374,21
51,97.42992087206707,409,1.0,0.09527745842933655,21
52,97.73072141787563,844,1.0,0.09577833116054535,21
53,97.97765064744895,402,1.0,0.09508614242076874,21
54,97.69622093787702,311,1.0,0.09580521285533905,21
55,97.69313090527633,298,1.0,0.09721522778272629,21
56,97.99591745951359,301,1.0,0.09660395979881287,21
57,97.95485219355156,335,1.0,0.09579148143529892,21
58,98.02687402755849,301,1.0,0.09345247596502304,21
59,97.56240705476799,337,1.0,0.09242900460958481,21
