episode,reward,length,success,population_std,seed
1,-145.75136746047065,200,0.0,0.4979535937309265,21
2,-139.2520024847181,200,0.0,0.5040326714515686,21
3,-183.4762039726047,200,0.0,0.5083411931991577,21
4,-146.83938550995663,200,0.0,0.5212423205375671,21
5,-123.4997161332285,200,0.0,0.5263580679893494,21
6,-153.39677116029634,200,0.0,0.5318251848220825,21
7,-182.48837671722868,200,0.0,0.5320828557014465,21
8,-132.28296527187922,200,0.0,0.542188286781311,21
9,-143.0705511700944,200,0.0,0.5503064393997192,21
10,-131.78804767565452,200,0.0,0.5407276749610901,21
11,-146.6278743367002,200,0.0,0.5343899726867676,21
12,-130.32459671172546,200,0.0,0.5317067503929138,21
13,-166.6784286146958,200,0.0,0.5149416327476501,21
14,-138.75438480259618,200,0.0,0.5064502358436584,21
15,-20.781835275090998,193,1.0,0.4990033209323883,21
16,-11.779707335692365,197,1.0,0.4874393045902252,21
17,-113.30307823809562,200,0.0,0.46579185128211975,21
18,-135.24354017252335,200,0.0,0.47474777698516846,21
19,-14.300212275004014,197,1.0,0.47027385234832764,21
20,-15.623321981198387,196,1.0,0.4716319441795349,21
21,-113.37066817388404,200,0.0,0.4665665328502655,21
22,-19.72396942251362,192,1.0,0.4421154856681824,21
23,-16.77658922795672,195,1.0,0.4188958704471588,21
24,-16.570964723985526,193,1.0,0.39475783705711365,21
25,-15.701381991326343,196,1.0,0.4012264907360077,21
26,-12.777910737902857,198,1.0,0.4090450406074524,21
27,-110.21583313064184,200,0.0,0.40034785866737366,21
28,-19.284840308944695,193,1.0,0.41948026418685913,21
29,-8.234292612876743,193,1.0,0.41620251536369324,21
30,-106.0371215903433,200,0.0,0.4068247377872467,21
31,-113.03536101491773,200,0.0,0.41428419947624207,21
32,-129.36171896813903,200,0.0,0.4111207127571106,21
33,-20.63401318428805,193,1.0,0.4000326693058014,21
34,-18.55434492600034,194,1.0,0.4025005102157593,21
35,-15.69583946979128,196,1.0,0.39463478326797485,21
36,-130.93008252966683,200,0.0,0.39830392599105835,21
37,-8.226766638224944,193,1.0,0.3842151463031769,21
38,-19.364741332945414,193,1.0,0.3829154074192047,21
39,-105.97501844051294,200,0.0,0.37926626205444336,21
40,-129.42761259124381,200,0.0,0.37741899490356445,21
41,-192.23559341877262,200,0.0,0.3874795436859131,21
42,-163.3269291112083,200,0.0,0.39378368854522705,21
43,-125.4666516087309,200,0.0,0.4043695032596588,21
44,-185.3730408877709,200,0.0,0.4098415970802307,21
45,-179.8451995009964,200,0.0,0.4121830463409424,21
46,-171.13059992800117,200,0.0,0.4082893431186676,21
47,-160.65472633142235,200,0.0,0.40442702174186707,21
48,-7.294491988926893,179,1.0,0.40406617522239685,21
49,-162.89793556410586,200,0.0,0.40273669362068176,21
50,-175.41465879010502,200,0.0,0.40437230467796326,21
51,-179.64764918593573,200,0.0,0.4092845618724823,21
52,-169.40100088948384,200,0.0,0.41120973229408264,21
53,-176.41640013840515,200,0.0,0.4128497242927551,21
54,-6.955455488117877,179,1.0,0.41894179582595825,21
55,22.272333820466883,173,1.0,0.4220777750015259,21
56,15.403569725807756,176,1.0,0.4148157835006714,21
57,-182.1239246006735,200,0.0,0.4059064984321594,21
58,9.239438748918474,175,1.0,0.40638816356658936,21
59,-186.61140421660377,200,0.0,0.3983674645423889,21
60,-181.5225709407241,200,0.0,0.40458184480667114,21
61,-168.99069027145742,200,0.0,0.4083305597305298,21
62,-174.73764463560656,200,0.0,0.4152262210845947,21
63,13.3428518853907,180,1.0,0.41592440009117126,21
64,23.206709133839468,173,1.0,0.4116002023220062,21
65,-6.430478864116594,179,1.0,0.41617849469184875,21
66,-3.614546320575755,178,1.0,0.41606637835502625,21
67,-186.81207990038047,200,0.0,0.4207219183444977,21
68,-175.53865227644565,200,0.0,0.42159363627433777,21
69,14.693686389626237,177,1.0,0.425760418176651,21
70,25.97280658307136,171,1.0,0.426289826631546,21
71,-175.36357137490995,200,0.0,0.4222368001937866,21
72,-6.915140904369764,179,1.0,0.4225842356681824,21
73,-182.46249828669534,200,0.0,0.4212324321269989,21
74,-7.4457994559488725,179,1.0,0.41716524958610535,21
75,-172.1546402121021,200,0.0,0.4250440299510956,21
76,-183.97223848471185,200,0.0,0.4249287247657776,21
77,-179.8014279246854,200,0.0,0.4273563325405121,21
78,-163.19656950596254,200,0.0,0.4271097481250763,21
79,-167.24491157350712,200,0.0,0.4229944944381714,21
80,-9.280389148756512,179,1.0,0.424359530210495,21
81,25.23813571536448,173,1.0,0.4225101172924042,21
82,-179.3236963074014,200,0.0,0.4235961437225342,21
83,-169.25882355542853,200,0.0,0.4287553131580353,21
84,17.00868592923507,176,1.0,0.4248655140399933,21
85,16.737631688185502,178,1.0,0.42093783617019653,21
86,-9.356714059817023,179,1.0,0.42258480191230774,21
87,-172.31496831816912,200,0.0,0.4267479181289673,21
88,-7.598344010315486,179,1.0,0.43743449449539185,21
89,-168.0168042882542,200,0.0,0.4287607669830322,21
90,-164.6094187165727,200,0.0,0.42352262139320374,21
91,-9.647587185230805,179,1.0,0.4214532971382141,21
92,16.301958516589366,178,1.0,0.42069318890571594,21
93,-186.87495454899818,200,0.0,0.4237824082374573,21
94,-8.814711412909674,179,1.0,0.4242054224014282,21
95,22.927612220875744,173,1.0,0.42428678274154663,21
96,-171.40167431687587,200,0.0,0.41659247875213623,21
97,29.863675042171963,123,1.0,0.4233212172985077,21
98,-11.127870120079024,193,1.0,0.4182477295398712,21
